query,type
give me a sample code to update  students details,1
give me a sample code to Delete students details,3
give me a sample code to add students details,2
give me a sample code to get all students details,0
Provide a sample OpenAPI specification for a REST API that allows users to delete student records.,3
Provide a sample OpenAPI specification for a REST API that allows users to get student records.,0
Provide a sample OpenAPI specification for a REST API that allows users to add student records.,2
Provide a sample OpenAPI specification for a REST API that allows users to update student records.,1
Write a sample OpenAPI specification for a REST API that allows users to update students by id,1
Write a sample OpenAPI specification for a REST API that allows users to delete students by id,3
Write a sample OpenAPI specification for a REST API that allows users to add students by id,2
Write a sample OpenAPI specification for a REST API that allows users to search  students by id,0
Generate an OpenAPI specification for a REST API that allows users to update students in courses.,1
Generate an OpenAPI specification for a REST API that allows users to delete students in courses.,3
Generate an OpenAPI specification for a REST API that allows users to get students in courses.,0
Generate an OpenAPI specification for a REST API that allows users to enroll students in courses.,2
Create an OpenAPI specification for a REST API that allows users to update student events and activities.,1
Create an OpenAPI specification for a REST API that allows users to get student events and activities.,0
Create an OpenAPI specification for a REST API that allows users to delete student events and activities.,3
Create an OpenAPI specification for a REST API that allows users to register for student events and activities.,2
give me a sample code to get student,0
give me a sample code to add student,2
give me a sample code to update student,1
give me a sample code to remove student,3
Write a sample OpenAPI specification for a REST API that allows users to update a project.,1
Write a sample OpenAPI specification for a REST API that allows users to get a project.,0
Write a sample OpenAPI specification for a REST API that allows users to create a project.,2
Write a sample OpenAPI specification for a REST API that allows users to delete a project.,3
Write a sample OpenAPI specification for a REST API that allows users to find all details about all projects.,0
Write a sample OpenAPI specification for a REST API that allows users to update project details.,1
Write a sample OpenAPI specification for a REST API that allows users to delete tasks,3
Create a sample OAS to add an item to a shopping cart.,2
Create a sample OAS to get a specific item from a shopping cart.,0
Create a sample OAS to get all items from a shopping cart.,0
Create a sample OAS to remove a specific item from a shopping cart.,3
Create a sample OAS to update the item count of a specific item in a shopping cart.,1
Write a sample OAS doc to add a new employee to a company.,2
Write a sample OAS doc to get details of a specific employee.,0
Write a sample OAS doc to change the department of a specific employee.,1
Write a sample OAS doc to remove an employee from a company.,3
Write a sample OAS doc to get all employees in ascending order based on their joined date and also filter them based on a specific department,0
Write a oas for  document to get all book details,0
Write a sample code to get specific book details,0
write a code to get all students details in school,0
